,index,track_id,track_name,track_artist,track_popularity,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,youtube_id
1727,1727,1rlz0e2Co8c9ez198e1y5U,Stereo,LOZAREENA,31,7oIf30QBXrWkIkRLrOi2Cl,Stereo,2018-11-09,Best of 2019 Dance Pop: Japan,37i9dQZF1DXdOtZGKonFlM,pop,dance pop,0.663,0.686,7,-2.72,0.0342,0.233,0.0,0.0911,0.593,160.002,238547,MhgTx_npkkc
1728,1728,2UeUOkNWgb1DkVUZcACduO,ひとりの夜を抜け,Lucky Kilimanjaro,41,3BFVT73jpTPm86G3tPtzVj,ひとりの夜を抜け,2018-11-21,Best of 2019 Dance Pop: Japan,37i9dQZF1DXdOtZGKonFlM,pop,dance pop,0.653,0.742,4,-7.084,0.0324,0.0176,0.0,0.212,0.74,122.031,181589,WzOLaRvPAkQ
1729,1729,7HscxMMboSPj6sTbQKLWFk,JOYRIDE (#SorryNotSorry pt.2),BananaLemon,30,04YjPGa3mtc1042kb6HdaA,JOYRIDE (#SorryNotSorry pt.2),2018-12-17,Best of 2019 Dance Pop: Japan,37i9dQZF1DXdOtZGKonFlM,pop,dance pop,0.789,0.697,1,-5.725,0.0449,0.0461,0.0,0.653,0.775,104.954,216991,xCorJG9mubk
1730,1730,6XMn5TmDgJe8alhChPpuL8,ONE THING feat. SALU (BABY-T Remix),I Don't Like Mondays.,30,1Gm8R7l4c08hIhJghBNYYU,ONE THING feat. SALU (BABY-T Remix),2018-12-01,Best of 2019 Dance Pop: Japan,37i9dQZF1DXdOtZGKonFlM,pop,dance pop,0.692,0.819,7,-5.882,0.0417,0.0181,0.00372,0.143,0.657,115.004,204590,bJ2PNrT6hTc
1731,1731,6c1r8SoG4gp3T2mOrIDQmW,Rain,KEN THE 390,26,25J8LhxqjZMzKK7VwZMjeJ,Rain,2019-03-22,Best of 2019 Dance Pop: Japan,37i9dQZF1DXdOtZGKonFlM,pop,dance pop,0.661,0.742,7,-5.588,0.173,0.225,0.0,0.0992,0.478,108.045,232222,YnL0auXv5iE
1732,1732,2VzUh85tCLAZeOoOJ70ecg,スパゲッティー,AYA A.K.A PANDA,42,0WcqzetDPl3Q7pfQHEooFe,スパゲッティー,2019-01-16,Best of 2019 Dance Pop: Japan,37i9dQZF1DXdOtZGKonFlM,pop,dance pop,0.712,0.659,9,-5.305,0.0436,0.167,0.0,0.0418,0.734,101.965,183824,uUItuh7-9Kg
1734,1734,5VRtz5coFkV9EqVLGEsg6k,ガリレオ・ガール,NONA REEVES,37,1anEfewz5CYK3KQlQYysKc,未来,2019-03-13,Best of 2019 Dance Pop: Japan,37i9dQZF1DXdOtZGKonFlM,pop,dance pop,0.703,0.885,9,-6.712,0.0322,0.0275,0.00284,0.255,0.939,123.997,191947,SV5cfI0D2Wk
1735,1735,4jI04cbC5SjsuNUNWYXca7,FAKE,ASOBOiSM,29,18IkQDbLFpdOuDVKRjNwrh,FAKE,2018-10-10,Best of 2019 Dance Pop: Japan,37i9dQZF1DXdOtZGKonFlM,pop,dance pop,0.558,0.713,3,-7.48,0.0625,0.492,0.00266,0.0493,0.686,106.043,179272,bxDsGjRuFAI
1736,1736,7uTyLdHB3Ypl38uEoh1EbW,Mi Body Good,Akane,27,3lKVfy2r9NaoDrUclaSC5e,AkaneAMG,2019-01-16,Best of 2019 Dance Pop: Japan,37i9dQZF1DXdOtZGKonFlM,pop,dance pop,0.743,0.782,2,-4.072,0.194,0.17,0.0,0.032,0.605,99.869,142895,z_3S2_41_FE
1737,1737,1kLnF1k6W0NuJLvukYbRBo,Cruisin',Shin Sakiura,29,3B1MPUkobm7xOzegYDaJVo,Cruisin',2019-01-09,Best of 2019 Dance Pop: Japan,37i9dQZF1DXdOtZGKonFlM,pop,dance pop,0.697,0.687,0,-5.455,0.0402,0.265,0.0,0.103,0.364,103.962,193341,InzFC1WruL0
1738,1738,3Cvh49XTvOeWOeMCL7qI07,Drop Top,MaisonDe,36,3PGWjjYWUevslmbMfu6Gw0,Because Of Summer,2019-07-14,Best of 2019 Dance Pop: Japan,37i9dQZF1DXdOtZGKonFlM,pop,dance pop,0.787,0.652,8,-5.6,0.139,0.227,0.000228,0.0888,0.839,103.933,175773,zra9yTt4MAo
1739,1739,5lCuGJZNJH7x9vfwBGv5VB,Break up,Taichi Mukai,40,2TGEJxj260gHLitdF8es0E,PURE,2018-11-28,Best of 2019 Dance Pop: Japan,37i9dQZF1DXdOtZGKonFlM,pop,dance pop,0.702,0.758,8,-6.205,0.103,0.198,0.0,0.343,0.575,129.975,276053,FSWcgQoRdQY
1740,1740,6ckFK2ksVUNpfeUqRDtirQ,AMOR,BoA,36,0vpYcah9x3TdyCLEUOJZzZ,AMOR,2018-12-26,Best of 2019 Dance Pop: Japan,37i9dQZF1DXdOtZGKonFlM,pop,dance pop,0.744,0.85,9,-3.823,0.0342,0.115,1.86e-06,0.137,0.81,108.047,233965,HnNEeskOSJQ
1741,1741,4D9QMZ3n8OupOPdxU0MMBS,Make A Move,EMMA WAHLIN,45,2wyItp4YIkkGJa3NqL0hoh,Make A Move,2019-02-06,Best of 2019 Dance Pop: Japan,37i9dQZF1DXdOtZGKonFlM,pop,dance pop,0.822,0.591,9,-6.615,0.0515,0.0133,0.147,0.114,0.384,124.015,189147,wi_PgRNGNsY
1743,1743,2Bxy4HTb0GvzdPtBUeGBOk,Limousine,DJ PIGER,18,1PQNCscmXjrkolJabDkQhr,Limousine,2019-05-01,Best of 2019 Dance Pop: Japan,37i9dQZF1DXdOtZGKonFlM,pop,dance pop,0.627,0.732,6,-9.279,0.0306,0.00225,0.0105,0.0863,0.744,122.006,193783,qu4FQX0zdyI
1744,1744,4HTljKa4yPq5uIYFJa3a9N,Too Fragile,CIRRRCLE,27,69PRBVnwYN5A6pHA6njDu5,Too Fragile,2019-02-20,Best of 2019 Dance Pop: Japan,37i9dQZF1DXdOtZGKonFlM,pop,dance pop,0.771,0.726,3,-5.942,0.129,0.067,0.0,0.39,0.627,110.981,156682,5bdprHGdU7Y
1745,1745,0ahbzg4GCq3wJzUM3cjS3N,Violeta,IZ*ONE,67,2UBE2MgNdsGa9OCSbvwdEQ,HEART*IZ,2019-04-01,Best of 2019 Dance Pop: Japan,37i9dQZF1DXdOtZGKonFlM,pop,dance pop,0.715,0.88,7,-2.94,0.0685,0.00373,0.0,0.104,0.669,115.012,200913,SXLRotIzotk
1746,1746,6G7DuXoSGeAf6BZivJdEjF,달라달라 DALLA DALLA,ITZY,52,2gHd5bCrj42s8nwwXBALd4,IT'z Different,2019-02-13,Best of 2019 Dance Pop: Japan,37i9dQZF1DXdOtZGKonFlM,pop,dance pop,0.79,0.853,11,-4.564,0.0665,0.00116,4.23e-05,0.329,0.713,124.998,199874,zzoXLmKpCEg
1747,1747,6GwzaIVJL5DEimt18lokq9,Never Grow Up,CHANMINA,54,7jBsX9evtu7ZQkPEEXtg53,Never Grow Up,2019-07-19,Best of 2019 Dance Pop: Japan,37i9dQZF1DXdOtZGKonFlM,pop,dance pop,0.805,0.858,10,-4.532,0.059,0.145,2.66e-05,0.0686,0.483,105.021,196253,qw7oS1FBHyI
1748,1748,47PRHkkBim9N2vdhJHoYel,Ooo!,EXILE SHOKICHI,29,2VH4MDTOOs9IswirGyVPGe,1114,2019-05-15,Best of 2019 Dance Pop: Japan,37i9dQZF1DXdOtZGKonFlM,pop,dance pop,0.714,0.799,0,-5.797,0.181,0.632,0.0,0.0934,0.615,123.133,180773,xEyWTxHh5Ng
1749,1749,23J9Dkf9HBm91mjJalvGn5,Flame of Love,Reiji Kawaguchi,26,4UVlGyIDYuUX8GXGDvJcSe,Departure,2019-07-24,Best of 2019 Dance Pop: Japan,37i9dQZF1DXdOtZGKonFlM,pop,dance pop,0.742,0.732,7,-5.261,0.0413,0.0552,1.65e-06,0.0594,0.576,104.965,185187,TjxpLyxgkw4
1750,1750,2Db0OROohi3gR8lmhHrYGk,Beautiful - 3onderboy remix,BananaLemon,28,2wt8E2qS1icf4uRf4Fzn0k,Beautiful (3onderboy remix),2018-12-08,Best of 2019 Dance Pop: Japan,37i9dQZF1DXdOtZGKonFlM,pop,dance pop,0.705,0.718,9,-4.388,0.149,0.277,0.000466,0.0524,0.562,119.988,243565,1BZkYfqa4Fs
1751,1751,2SSySqj3PyoeAW1XT83qQ3,Famous,TAEMIN,55,2QuKLZv9HxsJJgTiLAwjFC,Famous,2019-07-27,Best of 2019 Dance Pop: Japan,37i9dQZF1DXdOtZGKonFlM,pop,dance pop,0.818,0.796,7,-4.455,0.133,0.00278,0.0326,0.0886,0.697,115.032,180187,F32hhOsJ14k
1752,1752,3Lhrv49JFkwVF1Sl9L1rfp,TURN,TaeyoungBoy,0,11Z4ix9Ea2DeoQEgNZzD8r,HOWL OF YOUNGTIMZ,2019-02-27,Best of 2019 Dance Pop: Japan,37i9dQZF1DXdOtZGKonFlM,pop,dance pop,0.704,0.482,5,-10.661,0.0475,0.0302,9.13e-05,0.173,0.284,109.988,169796,HYcGrFldEMc
1753,1753,6qpjGjY3k77AaQ886JLuHr,Boy Meets Girl,Rude-α,38,4PTmPg0yhoCNYSft8dzNRz,Boy Meets Girl,2018-11-28,Best of 2019 Dance Pop: Japan,37i9dQZF1DXdOtZGKonFlM,pop,dance pop,0.792,0.844,11,-4.915,0.212,0.202,0.0,0.0438,0.844,113.025,236317,Ntg3kdkuESc
1754,1754,7oE8bNwZhJdcAJZBKNsi28,Sakura,DEAN FUJIOKA,37,28fsFJEV2tL7ynaiRGVKTz,History In The Making,2019-01-30,Best of 2019 Dance Pop: Japan,37i9dQZF1DXdOtZGKonFlM,pop,dance pop,0.676,0.724,7,-5.974,0.0576,0.506,0.0,0.124,0.59,105.948,241685,zzqUezWYhz0
1755,1755,5COO2JgOmHIJ2jsXFwflz8,Breakthrough,TWICE,65,7LWfEiSeue9BXPbUOH34q6,Breakthrough,2019-06-12,Best of 2019 Dance Pop: Japan,37i9dQZF1DXdOtZGKonFlM,pop,dance pop,0.868,0.728,6,-3.338,0.11,0.0439,0.0,0.0975,0.616,112.006,217651,ZdKYi5ekshM
1756,1756,5YkOuhqiQWvcTk2kvyver4,DOWN BY LAW,THE RAMPAGE from EXILE TRIBE,48,2FWc8dJPpfBmL2KmZjXNzV,THROW YA FIST,2019-01-30,Best of 2019 Dance Pop: Japan,37i9dQZF1DXdOtZGKonFlM,pop,dance pop,0.752,0.924,4,-2.702,0.0838,0.0189,0.0,0.0598,0.786,119.996,201733,QHHCb_EEqgw
1757,1757,3dbZ20KRvbye5m9bd9NWtj,Dream ship,DJ RYOW,36,70V9yuVZKIXSsdhCOJSA8w,Dream ship,2019-03-20,Best of 2019 Dance Pop: Japan,37i9dQZF1DXdOtZGKonFlM,pop,dance pop,0.72,0.672,7,-5.968,0.0546,0.0281,2.05e-06,0.15,0.315,97.033,183093,4ZZxyltWYPg
1760,1760,5zDfFSfXPpyFow3BOTiRgZ,more,AmPm,45,3eHnyZk4umHBGT5zhDPdcE,more,2019-05-22,Best of 2019 Dance Pop: Japan,37i9dQZF1DXdOtZGKonFlM,pop,dance pop,0.734,0.714,6,-7.02,0.036,0.0134,2.76e-05,0.0751,0.744,120.006,292767,HYcGrFldEMc
1761,1761,1O259SGmDCaaAtux8bZzNE,"The Lights, The Nights - Strobe Ver.",Unwork,25,6Sb4e6jnzU08hZr7RJ0FBr,"The Lights, The Nights (Strobe Ver.)",2019-04-02,Best of 2019 Dance Pop: Japan,37i9dQZF1DXdOtZGKonFlM,pop,dance pop,0.722,0.905,5,-3.993,0.0446,0.0256,0.0,0.112,0.511,109.998,226909,Q_fNN1gwwRA
1762,1762,3WbyRFgA2L8VqG7RgVfe8V,MAKUAKE PARKGOLF remix,eill,28,3n0CfbQCo1t04ThwWiXIad,MAKUAKE PARKGOLF remix,2018-11-14,Best of 2019 Dance Pop: Japan,37i9dQZF1DXdOtZGKonFlM,pop,dance pop,0.703,0.686,8,-5.452,0.035,0.337,0.0,0.146,0.682,125.977,225694,-5nN21q178E
1763,1763,5RupfK0xmLqyniW7PJ0Ltb,Sexy my lady,RIKE,26,46M0aIwYuG0j1C84EYFxK4,Sexy my lady,2019-07-31,Best of 2019 Dance Pop: Japan,37i9dQZF1DXdOtZGKonFlM,pop,dance pop,0.772,0.849,5,-5.025,0.128,0.18,0.0,0.244,0.562,102.974,168118,bw5SHvivTls
1765,1765,0x06Qi9pXK8h1SYdvG1iuY,MI NUH FRAID (Extravaganza Riddim),ramhead,22,54WEEaEHxfm7CHoSFlaUcV,MI NUH FRAID (Extravaganza Riddim),2019-06-05,Best of 2019 Dance Pop: Japan,37i9dQZF1DXdOtZGKonFlM,pop,dance pop,0.818,0.817,8,-3.491,0.182,0.0952,0.0,0.06,0.81,106.94,159214,PNB1geoJPVU
1766,1766,3vYVTsZfXFnywCHlgBbWB8,WILD,Shuta Sueyoshi,30,661ZDp52CvN6lXdzwMLQJ6,WONDER HACK,2019-01-16,Best of 2019 Dance Pop: Japan,37i9dQZF1DXdOtZGKonFlM,pop,dance pop,0.621,0.92,6,-6.0,0.141,0.000304,0.0,0.228,0.661,149.981,208627,f6S2__hsqHA
1767,1767,1CT1dgsDKm4n0ykVyoBj3R,Overflow(変身),YonYon,34,4f9KHk8Eit99Y83Ui4gLtZ,Overflow(変身),2019-03-21,Best of 2019 Dance Pop: Japan,37i9dQZF1DXdOtZGKonFlM,pop,dance pop,0.917,0.6,6,-5.362,0.0483,0.296,0.00159,0.0469,0.659,120.001,240988,Ce3Lm3nW71g
1768,1768,0JOyq6so0bYNZB4RAkjg4m,Woman We Are,Dream Shizuka,26,7pphTqdc5lyjzhpv1FCtXi,4 FEELS.,2019-05-22,Best of 2019 Dance Pop: Japan,37i9dQZF1DXdOtZGKonFlM,pop,dance pop,0.696,0.889,1,-2.716,0.035,0.0187,0.0,0.35,0.586,144.06,195558,BSvInyZ0UU8
1769,1769,3TWfEEzcdrkR0CSvWqyUlX,Kill This Love,BLACKPINK,58,3ZzeWH0Rfthd2oOrKjC9Jn,KILL THIS LOVE,2019-04-05,Best of 2019 Dance Pop: Japan,37i9dQZF1DXdOtZGKonFlM,pop,dance pop,0.738,0.861,2,-4.141,0.237,0.32,0.00175,0.325,0.58,131.974,189040,2S24-y0Ij3Y
1770,1770,6DkOqFoA3gk9c5N8VLokPF,Free! Free! Free!,竹内アンナ,37,4WqK39QuWgo8RT3zVKWvU8,at TWO,2019-01-23,Best of 2019 Dance Pop: Japan,37i9dQZF1DXdOtZGKonFlM,pop,dance pop,0.721,0.861,4,-4.87,0.0847,0.151,0.0,0.118,0.64,132.065,231933,nf5rK1T9Ouo
1771,1771,6sXFJCJ69nPCgQW100fY5f,Days Gone By,ANIMAL HACK,37,6wJdhbBl7pEmJ34cVv0f4l,Days Gone By,2019-01-26,Best of 2019 Dance Pop: Japan,37i9dQZF1DXdOtZGKonFlM,pop,dance pop,0.382,0.872,9,-4.185,0.215,0.0278,3.17e-06,0.129,0.399,70.944,197400,YBbeOe276Fk
1772,1772,7CfwMm7x2HLQ1bllMosD9k,Your Best American Girl,Mitski,31,5wxgAHOOA1fWv07nvIGwZD,Puberty 2,2017-10-20,Ultimate Indie Presents... Best Indie Tracks of the 2010s,37i9dQZF1DWTHM4kX49UKs,pop,dance pop,0.316,0.257,7,-9.802,0.0331,0.0168,0.00484,0.244,0.113,77.009,212184,u_hDHm9MD0I
1774,1774,3Rc2ajBMInxeNGVkMPC92Y,Dancing On My Own,Robyn,61,4ektWErsV6EIxW0jBWq1Jn,Body Talk Pt. 1,2010-06-11,Ultimate Indie Presents... Best Indie Tracks of the 2010s,37i9dQZF1DWTHM4kX49UKs,pop,dance pop,0.678,0.871,6,-4.781,0.0342,0.0587,0.249,0.0928,0.28,117.029,285973,CcNo07Xp8aQ
1776,1776,41X9To0bQ4fpoSRri4NHiI,Seasons (Waiting On You),Future Islands,66,1dKh4z5Aayt8FFDWjO5FDh,Singles,2014-03-24,Ultimate Indie Presents... Best Indie Tracks of the 2010s,37i9dQZF1DWTHM4kX49UKs,pop,dance pop,0.498,0.721,10,-5.232,0.0282,0.136,0.7,0.0933,0.589,140.027,226440,-5Ae-LhMIG0
1778,1778,0PHwCbA310LLIMcSDpQbgF,Two Weeks,FKA twigs,58,5VqGGKeWpIBRFh4M4XmqDK,LP1,2014-08-12,Ultimate Indie Presents... Best Indie Tracks of the 2010s,37i9dQZF1DWTHM4kX49UKs,pop,dance pop,0.48,0.717,0,-6.663,0.23,0.0625,0.000685,0.0814,0.335,109.756,247547,3yDP9MKVhZc
1780,1780,5by7gtiDrxe4n2qQQunL8S,Video Games - Remastered,Lana Del Rey,55,4X8hAqIWpQyQks2yRhyqs4,Born To Die,2012-01-30,Ultimate Indie Presents... Best Indie Tracks of the 2010s,37i9dQZF1DWTHM4kX49UKs,pop,dance pop,0.39,0.255,6,-9.676,0.0299,0.806,1.14e-06,0.0887,0.179,122.056,281947,4nJy2RS8HW0
1782,1782,52WTLETEHs5jwCr7LCq0VW,Queen,Perfume Genius,58,28FxHb9OJRzAch4DwUUsaT,Too Bright,2014-09-22,Ultimate Indie Presents... Best Indie Tracks of the 2010s,37i9dQZF1DWTHM4kX49UKs,pop,dance pop,0.418,0.547,1,-4.932,0.0295,0.211,0.0443,0.187,0.13,131.99,230720,SfJ9HX13Z8U
1784,1784,3xKsf9qdS1CyvXSMEid6g8,Pink + White,Frank Ocean,77,3mH6qwIy9crq0I9YQbOuDf,Blonde,2016-08-20,Ultimate Indie Presents... Best Indie Tracks of the 2010s,37i9dQZF1DWTHM4kX49UKs,pop,dance pop,0.544,0.552,9,-7.45,0.0991,0.67,4.57e-05,0.415,0.554,159.738,184516,uzS3WG6__G4
1788,1788,4sCYKMatyhazyy6r2N7Hp2,Genesis,Grimes,60,48a7rOjTzpD1zzJAteeveE,Visions,2012-02-21,Ultimate Indie Presents... Best Indie Tracks of the 2010s,37i9dQZF1DWTHM4kX49UKs,pop,dance pop,0.611,0.677,10,-6.745,0.034,0.0764,0.0698,0.241,0.233,166.04,255320,WizNXQGBMEk
1790,1790,2X485T9Z5Ly0xyaghN73ed,Let It Happen,Tame Impala,75,79dL7FLiJFOO0EoehUHQBv,Currents,2015-07-17,Ultimate Indie Presents... Best Indie Tracks of the 2010s,37i9dQZF1DWTHM4kX49UKs,pop,dance pop,0.602,0.881,1,-5.875,0.0443,0.00462,0.0266,0.111,0.577,125.012,467587,pFptt7Cargc
1792,1792,6V5nMvQwsiyW7rEyZq3gfQ,I Know There's Gonna Be (Good Times) [feat. Popcaan],Young Thug,57,5KmHLqummeGUiCexCkFEa4,I Know There's Gonna Be (Good Times) [feat. Popcaan],2015-08-28,Ultimate Indie Presents... Best Indie Tracks of the 2010s,37i9dQZF1DWTHM4kX49UKs,pop,dance pop,0.632,0.592,11,-9.735,0.162,0.124,0.0,0.53,0.499,89.522,213622,LxX3IEcfRKc
1794,1794,3BpUZB0tw4zNmG3Iw1mclL,Your Dog,Soccer Mommy,61,36NLDBi2kX7XRHnyLzLOS8,Clean,2018-03-02,Ultimate Indie Presents... Best Indie Tracks of the 2010s,37i9dQZF1DWTHM4kX49UKs,pop,dance pop,0.652,0.669,11,-7.797,0.0262,0.122,0.00039,0.169,0.769,115.047,194009,Ouem6cFXJvA
1796,1796,3t87C08isN6yw2DnWOorLm,Hannah Hunt,Vampire Weekend,62,2Qi2SySN2ePZwMLDSv9Krn,Modern Vampires of the City,2013-05-27,Ultimate Indie Presents... Best Indie Tracks of the 2010s,37i9dQZF1DWTHM4kX49UKs,pop,dance pop,0.345,0.313,4,-10.098,0.0681,0.717,0.000822,0.1,0.164,207.969,237973,Td7VQnWWWzI
1798,1798,4uQ7wYsuL0DryknoDc11Hk,Norf Norf,Vince Staples,70,4Csoz10NhNJOrCTUoPBdUD,Summertime '06,2015-06-30,Ultimate Indie Presents... Best Indie Tracks of the 2010s,37i9dQZF1DWTHM4kX49UKs,pop,dance pop,0.925,0.548,7,-6.572,0.0658,0.394,0.000128,0.11,0.0922,100.015,183160,mb6Jc4juSF8
1801,1801,2dLLR6qlu5UJ5gk0dKz0h3,Royals,Lorde,78,0rmhjUgoVa17LZuS8xWQ3v,Pure Heroine,2013-01-01,Ultimate Indie Presents... Best Indie Tracks of the 2010s,37i9dQZF1DWTHM4kX49UKs,pop,dance pop,0.674,0.428,7,-9.504,0.122,0.121,0.0,0.132,0.337,84.878,190185,nlcIKh6sBtc
1804,1804,4fbvXwMTXPWaFyaMWUm9CR,Holocene,Bon Iver,70,1JlvIsP2f6ckoa62aN7kLn,Bon Iver,2011-06-21,Ultimate Indie Presents... Best Indie Tracks of the 2010s,37i9dQZF1DWTHM4kX49UKs,pop,dance pop,0.375,0.304,1,-14.52,0.0302,0.943,0.303,0.126,0.147,147.989,336613,TWcyIpul8OE
1806,1806,5uZLsGY9fknBd5Rxr7AIss,Shut Up Kiss Me,Angel Olsen,64,5M8xQaQZuW2LZGVXZ3mlKN,MY WOMAN,2016-09-02,Ultimate Indie Presents... Best Indie Tracks of the 2010s,37i9dQZF1DWTHM4kX49UKs,pop,dance pop,0.373,0.63,7,-5.131,0.0461,0.0552,0.0,0.107,0.352,115.942,202200,nleRCBhLr3k
1808,1808,33pDmPx2pkJ7JCAQpRDQ9B,GLOWED UP,KAYTRANADA,64,1dZZh7PvVgce1DDsDPzy8Z,99.9%,2016-05-06,Ultimate Indie Presents... Best Indie Tracks of the 2010s,37i9dQZF1DWTHM4kX49UKs,pop,dance pop,0.681,0.621,1,-10.024,0.34,0.036,0.00555,0.138,0.428,135.538,298027,yaWesK-nWts
1810,1810,2NRRrr8ylDK38KD3Ffbw4K,BTSTU (Edit),Jai Paul,58,7srgNVx6TtKJrgNKMJusxb,BTSTU,2011-04-21,Ultimate Indie Presents... Best Indie Tracks of the 2010s,37i9dQZF1DWTHM4kX49UKs,pop,dance pop,0.665,0.389,1,-6.709,0.441,0.745,0.000982,0.326,0.521,89.962,210001,UUBAFPIHETA
1812,1812,1eyzqe2QqGZUmfcPZtrIyt,Midnight City,M83,71,6R0ynY7RF20ofs9GJR5TXR,"Hurry Up, We're Dreaming",2011,Ultimate Indie Presents... Best Indie Tracks of the 2010s,37i9dQZF1DWTHM4kX49UKs,pop,dance pop,0.526,0.712,11,-6.525,0.0356,0.0161,0.0,0.179,0.32,105.009,241440,dX3k_QDnzHE
1815,1815,328F2sC7uw6wdkWLggOAQ2,Borrowed Time,Parquet Courts,48,198JgCiP5oHBycAKedKHRm,Light Up Gold + Tally All The Things That You Broke,2013-10-15,Ultimate Indie Presents... Best Indie Tracks of the 2010s,37i9dQZF1DWTHM4kX49UKs,pop,dance pop,0.4,0.726,0,-7.232,0.0311,0.0447,0.838,0.549,0.806,92.299,152040,d6uFcz7KCRw
1817,1817,5dcZUsgcMW57ju0A379O7c,Them Changes,Thundercat,58,4anxEzh8xEKSPXKHGWiFue,Drunk,2017-02-24,Ultimate Indie Presents... Best Indie Tracks of the 2010s,37i9dQZF1DWTHM4kX49UKs,pop,dance pop,0.784,0.55,8,-8.645,0.0632,0.551,0.000607,0.0899,0.715,81.676,188385,jBuKNkVFaMU
1820,1820,3l9eg9RtisizG12a1D6nZl,Pretty Pimpin,Kurt Vile,66,2uRTsStAmo7Z2UwCIvuwMv,b'lieve i'm goin down...,2015-09-25,Ultimate Indie Presents... Best Indie Tracks of the 2010s,37i9dQZF1DWTHM4kX49UKs,pop,dance pop,0.566,0.664,8,-9.081,0.0281,0.0928,0.305,0.0903,0.764,91.117,298760,659pppwniXA
1822,1822,6u0dQik0aif7FQlrhycG1L,The Morning,The Weeknd,70,5EbpxRwbbpCJUepbqVTZ1U,Trilogy,2012-01-01,Ultimate Indie Presents... Best Indie Tracks of the 2010s,37i9dQZF1DWTHM4kX49UKs,pop,dance pop,0.652,0.549,6,-7.555,0.039,0.317,0.0,0.104,0.186,120.073,312427,5TAko3RH0bk
1825,1825,5I6y1KWmUoV5YCaIEcs1qs,Should Have Known Better,Sufjan Stevens,65,0U8DeqqKDgIhIiWOdqiQXE,Carrie & Lowell,2015-03-31,Ultimate Indie Presents... Best Indie Tracks of the 2010s,37i9dQZF1DWTHM4kX49UKs,pop,dance pop,0.571,0.172,7,-20.7,0.0318,0.979,0.275,0.124,0.297,90.972,307698,lJJT00wqlOo
1827,1827,66q3yNMEO2tOsiFny1IPQW,Old Friends,Pinegrove,60,2SmrUzUMMOYQqoPuOhlhjw,Cardinal,2016-02-12,Ultimate Indie Presents... Best Indie Tracks of the 2010s,37i9dQZF1DWTHM4kX49UKs,pop,dance pop,0.488,0.555,4,-7.315,0.0398,0.41,0.0,0.494,0.375,147.88,207720,tkb26vFEp94
1829,1829,2Kn3xgaDCM4aHuHK7FApgC,Close Your Eyes (And Count To Fuck),Run The Jewels,62,4Loc7NtCAo9mypHO6kbviD,Run The Jewels 2,2014-10-24,Ultimate Indie Presents... Best Indie Tracks of the 2010s,37i9dQZF1DWTHM4kX49UKs,pop,dance pop,0.678,0.662,1,-6.473,0.3,0.0123,0.0,0.133,0.498,80.318,234160,PkGwI7nGehA
1831,1831,0U0p8weaMIbIFMJ0CPlvHV,Sprawl II (Mountains Beyond Mountains),Arcade Fire,63,3DrgM5X3yX1JP1liNLAOHI,The Suburbs,2010,Ultimate Indie Presents... Best Indie Tracks of the 2010s,37i9dQZF1DWTHM4kX49UKs,pop,dance pop,0.518,0.81,8,-6.445,0.029,0.016,0.0013,0.115,0.179,99.968,325547,NuSbELCNloc
1833,1833,6UFivO2zqqPFPoQYsEMuCc,Bags,Clairo,70,4kkVGtCqE2NiAKosri9Rnd,Immunity,2019-08-02,Ultimate Indie Presents... Best Indie Tracks of the 2010s,37i9dQZF1DWTHM4kX49UKs,pop,dance pop,0.742,0.546,1,-7.694,0.0315,0.172,0.38,0.115,0.868,104.996,260520,L9HYJbe9Y18
1835,1835,3LueS3mbuB1yaJNN0Ale6U,Avant Gardener,Courtney Barnett,59,5lUc4iyCvw8DxpZa4Fryej,The Double EP: A Sea of Split Peas,2014-04-15,Ultimate Indie Presents... Best Indie Tracks of the 2010s,37i9dQZF1DWTHM4kX49UKs,pop,dance pop,0.443,0.737,0,-4.509,0.0293,0.00149,0.0032,0.121,0.746,115.277,312227,bcnIhzaDTd0
1837,1837,2IqjKEBiz0CdLKdkXhxw84,Retrograde,James Blake,67,53FEYOXnplxBWoQMmWn82U,Overgrown,2013-04-08,Ultimate Indie Presents... Best Indie Tracks of the 2010s,37i9dQZF1DWTHM4kX49UKs,pop,dance pop,0.533,0.251,7,-11.283,0.0372,0.873,0.104,0.134,0.186,77.503,223600,6p6PcFFUm5I
1840,1840,0ZAhJvqW67Epg4IsLIaSTR,Zebra,Beach House,54,4sYpTER2iT2Y7Kf4VsfUne,Teen Dream,2010-01-26,Ultimate Indie Presents... Best Indie Tracks of the 2010s,37i9dQZF1DWTHM4kX49UKs,pop,dance pop,0.612,0.476,8,-8.256,0.0275,0.861,0.00401,0.147,0.257,118.383,288720,N-wfb25WmV4
1842,1842,71jGGLe5VtEHjIk5dU2W3S,Red Eyes,The War On Drugs,65,14xxjLlbGy8ACm4MorBjD5,Lost In The Dream,2014-03-18,Ultimate Indie Presents... Best Indie Tracks of the 2010s,37i9dQZF1DWTHM4kX49UKs,pop,dance pop,0.464,0.815,10,-6.371,0.0368,0.00871,0.201,0.162,0.467,161.845,298920,1LmX5c7HoUw
