,track_popularity,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
3399,46,0.636,0.642,1,-8.494,0.032,0.00488,1.52e-06,0.0928,0.609,125.006,248314
3400,29,0.535,0.562,1,-8.159,0.316,0.307,0.000868,0.111,0.35,90.076,178833
3401,24,0.909,0.472,6,-8.298,0.114,0.332,0.000442,0.153,0.545,111.009,177838
3402,51,0.763,0.533,8,-7.148,0.0598,0.142,0.0,0.112,0.591,138.033,195112
3403,19,0.757,0.673,7,-6.733,0.185,0.0736,0.0,0.111,0.482,107.178,169068
3404,38,0.673,0.722,6,-5.324,0.122,0.152,0.0,0.0902,0.808,123.952,201504
3405,48,0.679,0.485,0,-7.926,0.0598,0.0164,0.0,0.213,0.709,92.007,164348
3406,32,0.597,0.319,2,-11.114,0.026,0.725,0.0171,0.155,0.43,80.014,159000
3407,36,0.519,0.578,1,-8.776,0.192,0.49,6.15e-05,0.144,0.683,115.032,187256
3408,30,0.574,0.664,1,-6.229,0.274,0.169,0.0,0.211,0.543,74.946,195200
3409,37,0.766,0.522,5,-8.397,0.141,0.379,0.0,0.107,0.526,89.98,186667
3410,30,0.766,0.564,4,-7.062,0.0273,0.195,0.0,0.0991,0.929,97.968,182449
3411,72,0.336,0.602,4,-6.354,0.0325,0.0635,0.0,0.141,0.299,161.01,234520
3412,63,0.605,0.902,10,-5.406,0.0511,0.0185,1.01e-06,0.0534,0.875,132.612,202587
3413,65,0.587,0.696,7,-3.836,0.0677,0.000728,0.0,0.184,0.701,137.087,153347
3414,78,0.696,0.921,0,-3.755,0.0363,0.00314,5.24e-05,0.0842,0.714,119.001,294573
3417,76,0.622,0.469,3,-6.798,0.0363,0.00454,2.25e-06,0.0335,0.679,77.019,219720
3418,76,0.751,0.834,1,-5.444,0.0437,0.3,1.77e-05,0.355,0.894,95.053,211160
3419,72,0.56,0.959,7,-2.433,0.102,0.000738,0.000206,0.209,0.67,163.983,216600
3420,62,0.696,0.893,9,-2.963,0.076,0.0662,0.0,0.473,0.573,97.954,214013
3422,69,0.717,0.73,9,-4.729,0.0568,0.383,0.0,0.398,0.792,102.002,251173
3423,76,0.56,0.825,11,-3.862,0.0379,0.323,0.0,0.161,0.268,94.931,237493
3424,79,0.564,0.714,7,-4.987,0.129,0.0549,0.0,0.155,0.33,175.924,204013
3425,70,0.527,0.834,1,-5.531,0.0447,0.00107,0.000102,0.0993,0.422,110.065,198333
3426,59,0.571,0.89,9,-1.6,0.0395,0.00509,0.0,0.0769,0.751,110.958,234147
3428,71,0.517,0.906,1,-3.677,0.0735,0.00272,9.26e-06,0.113,0.731,172.977,211520
3430,59,0.467,0.919,6,-2.255,0.069,0.0149,0.0,0.0193,0.706,169.987,196467
3432,62,0.722,0.821,1,-3.856,0.165,0.073,0.0,0.631,0.721,127.944,210293
3434,59,0.467,0.694,9,-4.984,0.0297,0.106,1.8e-05,0.247,0.308,88.902,214075
3435,60,0.547,0.723,2,-4.804,0.0323,0.312,0.0,0.112,0.377,102.003,156187
3436,56,0.531,0.827,7,-3.7,0.081,0.0957,1.84e-06,0.074,0.801,183.977,176600
3437,55,0.706,0.915,1,-3.169,0.0535,0.00742,1.1e-06,0.0343,0.872,114.992,224667
3438,61,0.268,0.716,9,-4.151,0.0337,0.0421,9.88e-06,0.108,0.393,160.008,237000
3439,61,0.667,0.659,2,-4.932,0.0298,0.113,0.0,0.325,0.575,89.128,203440
3440,62,0.57,0.747,4,-3.978,0.0426,0.445,0.0,0.219,0.808,164.004,237747
3441,78,0.726,0.787,4,-2.494,0.0738,0.009,0.0,0.0596,0.888,124.989,199987
3442,78,0.513,0.661,3,-6.8,0.0439,0.0274,0.0,0.118,0.461,180.118,228347
3444,77,0.762,0.661,1,-6.075,0.0687,0.15,0.0,0.256,0.769,130.009,225373
3447,77,0.646,0.795,9,-3.293,0.0976,0.0319,0.0,0.267,0.796,89.99,210960
3450,80,0.651,0.663,0,-5.569,0.0281,0.228,0.0,0.0994,0.465,102.0,259453
3452,73,0.738,0.804,11,-3.851,0.0621,0.332,0.0,0.279,0.949,174.943,190213
3455,61,0.752,0.836,10,-3.173,0.115,0.0843,0.000425,0.424,0.519,120.003,172053
3456,71,0.688,0.477,9,-6.681,0.036,0.594,0.0,0.115,0.257,127.866,196227
3458,48,0.749,0.779,5,-5.389,0.0337,0.0155,0.0,0.126,0.739,118.936,179680
3460,80,0.778,0.824,10,-5.892,0.0712,0.284,0.0,0.405,0.756,100.024,218093
3463,65,0.472,0.833,10,-4.486,0.162,0.297,0.0,0.056,0.413,166.271,296227
3465,44,0.534,0.731,4,-8.202,0.0303,0.00464,0.76,0.928,0.917,100.064,283841
3466,18,0.64,0.755,1,-4.077,0.0287,0.0138,0.0208,0.12,0.744,116.883,216319
3467,50,0.572,0.684,9,-5.64,0.0649,0.114,0.00785,0.364,0.908,135.926,178667
3468,83,0.573,0.902,6,-7.638,0.054,0.018,0.00125,0.0928,0.876,84.412,225280
3472,70,0.906,0.63,0,-8.071,0.0575,0.000547,0.616,0.0994,0.342,122.458,239253
3473,24,0.466,0.438,4,-12.858,0.0608,0.089,5.62e-06,0.113,0.587,193.1,233000
3475,17,0.644,0.599,9,-7.936,0.029,0.0443,0.0,0.286,0.941,111.829,193893
3476,64,0.822,0.969,7,-11.471,0.0582,0.259,0.000162,0.39,0.765,128.007,283748
3477,47,0.8,0.964,0,-3.858,0.0416,0.171,0.0,0.0624,0.699,130.083,216033
3478,81,0.692,0.711,0,-7.498,0.0317,0.227,0.0,0.12,0.875,125.135,216933
3482,56,0.761,0.718,11,-10.279,0.0366,0.00459,5.95e-06,0.0333,0.876,120.12,249067
3483,13,0.651,0.946,6,-4.717,0.101,0.13,0.0,0.148,0.508,91.911,228333
3484,76,0.854,0.463,5,-6.159,0.137,0.117,0.0,0.354,0.549,120.024,225773
3486,11,0.827,0.747,0,-6.247,0.0377,0.00355,0.0253,0.101,0.969,122.984,260507
3488,72,0.447,0.694,7,-4.637,0.382,0.0293,5.46e-06,0.167,0.509,175.868,227853
3489,70,0.659,0.628,0,-8.685,0.179,0.186,0.0,0.105,0.262,94.05,219427
3491,7,0.709,0.854,0,-4.447,0.0399,0.047,0.0,0.0724,0.826,105.074,224402
3492,22,0.852,0.911,11,-6.661,0.136,0.045,0.00383,0.306,0.847,131.028,221560
3493,54,0.87,0.876,0,-2.999,0.117,0.145,1.55e-05,0.841,0.861,104.985,231307
3494,53,0.95,0.731,11,-4.485,0.199,0.0248,5.26e-05,0.107,0.574,126.998,154463
3495,69,0.664,0.758,2,-6.583,0.21,0.00238,0.0,0.0598,0.701,99.259,235933
3496,72,0.724,0.904,8,-3.354,0.0966,0.0786,0.0,0.226,0.846,90.999,200813
3499,73,0.822,0.739,1,-4.541,0.0311,0.0264,4.26e-05,0.181,0.745,118.992,241933
3500,69,0.762,0.692,5,-3.973,0.0438,0.113,0.0,0.094,0.397,114.906,208307
3502,8,0.626,0.799,11,-6.612,0.046,0.000358,0.00155,0.36,0.369,98.992,274213
3505,64,0.762,0.748,0,-4.15,0.033,0.0266,0.0,0.348,0.851,110.009,199027
3506,5,0.65,0.951,11,-5.465,0.0729,0.232,0.0,0.979,0.727,96.032,170449
3507,64,0.743,0.72,11,-3.753,0.124,0.192,0.000386,0.109,0.519,163.99,209423
3508,55,0.946,0.491,1,-7.931,0.231,0.00521,0.0,0.226,0.586,130.029,375973
3512,57,0.898,0.813,8,-5.725,0.306,0.113,0.0,0.0854,0.771,126.986,215978
3513,3,0.743,0.828,3,-6.273,0.0692,0.167,0.744,0.132,0.753,114.725,169413
3514,65,0.845,0.768,6,-5.448,0.188,0.00733,5.04e-06,0.0575,0.96,100.0,187840
3515,48,0.746,0.873,7,-3.803,0.128,0.0244,0.0,0.354,0.817,148.075,222093
3516,0,0.905,0.617,2,-8.039,0.0596,0.00287,0.00044,0.0484,0.572,134.972,267187
3517,67,0.772,0.65,6,-5.202,0.0306,0.107,1.13e-06,0.0905,0.262,125.082,222200
3518,42,0.826,0.663,9,-5.777,0.067,0.246,0.000139,0.0421,0.214,122.019,281639
3519,0,0.446,0.903,8,-5.404,0.0418,0.000484,8.67e-06,0.164,0.169,175.021,185587
3520,0,0.714,0.783,7,-5.466,0.0288,0.0928,3.84e-05,0.582,0.54,121.993,215667
3521,55,0.647,0.792,10,-6.391,0.0504,0.16,0.0,0.0624,0.351,122.432,184705
3522,28,0.683,0.789,7,-6.672,0.0355,0.0864,0.00419,0.253,0.456,124.023,207253
3523,23,0.688,0.595,11,-6.518,0.0416,0.0107,6.47e-05,0.111,0.359,119.946,164250
3524,8,0.842,0.963,4,-5.563,0.114,0.0297,0.0271,0.0592,0.918,163.832,172442
3525,11,0.776,0.759,10,-5.956,0.0458,0.008,0.00234,0.0853,0.52,122.003,264011
3526,50,0.801,0.8,7,-5.159,0.0457,0.0329,1.63e-05,0.209,0.811,120.031,220549
3527,14,0.818,0.595,8,-7.644,0.0515,0.00014,0.575,0.0612,0.729,119.99,262000
3528,20,0.793,0.729,0,-4.77,0.0394,0.08,3.1e-05,0.317,0.488,121.972,195547
3531,0,0.692,0.896,10,-6.298,0.0637,0.0764,0.00194,0.157,0.804,121.999,185934
3532,10,0.671,0.8,0,-2.769,0.0882,0.0843,0.0,0.15,0.809,127.961,204308
3533,52,0.882,0.887,1,-4.91,0.116,0.0112,0.635,0.0345,0.657,124.81,212413
3534,34,0.804,0.877,0,-3.722,0.0609,0.00178,0.141,0.334,0.635,124.992,257280
3535,6,0.697,0.676,7,-6.134,0.0412,0.0101,2.66e-06,0.141,0.707,119.988,213135
3536,24,0.688,0.925,11,-4.338,0.0366,0.1,0.0,0.0401,0.623,123.984,185807
3537,75,0.378,0.638,10,-5.576,0.075,0.02,7.66e-05,0.0849,0.735,184.086,250627
3541,55,0.714,0.621,1,-5.343,0.0641,0.0352,1.63e-05,0.11,0.892,96.007,183533
3542,67,0.675,0.828,0,-5.799,0.0454,0.0242,0.0102,0.364,0.669,122.229,187733
3543,14,0.876,0.669,11,-6.054,0.138,0.163,0.0,0.185,0.682,124.007,213947
3544,57,0.677,0.89,6,-5.46,0.159,0.0123,0.0,0.321,0.622,96.009,193707
3545,74,0.638,0.924,7,-3.887,0.0359,0.00205,0.000173,0.149,0.529,111.995,263787
3548,70,0.799,0.586,11,-6.735,0.0377,0.162,2.03e-06,0.193,0.549,120.97,227833
3550,18,0.862,0.503,7,-7.703,0.0494,0.00453,1.87e-05,0.0761,0.863,119.998,263053
3551,77,0.49,0.743,0,-5.155,0.0409,0.255,7.21e-06,0.3,0.363,89.974,258827
3553,80,0.773,0.819,0,-5.946,0.118,0.426,0.0,0.0679,0.585,92.99,269187
3558,17,0.849,0.581,1,-5.243,0.0767,0.189,3.61e-06,0.0805,0.779,110.008,198237
3560,7,0.656,0.446,1,-5.897,0.265,0.00695,0.000419,0.088,0.203,74.543,247800
3563,1,0.559,0.437,6,-7.086,0.149,0.0542,0.0,0.0551,0.485,79.806,258120
3564,12,0.906,0.625,1,-6.779,0.0903,0.000243,3.23e-05,0.0975,0.423,150.018,177000
3566,4,0.602,0.723,6,-3.021,0.0405,0.168,0.0,0.0781,0.293,122.812,239853
3567,1,0.525,0.589,1,-7.125,0.296,0.0172,4.35e-06,0.485,0.323,104.608,204840
3568,0,0.726,0.562,1,-6.73,0.107,0.522,0.0,0.0829,0.326,150.074,220404
3569,6,0.929,0.794,9,-4.245,0.122,0.51,0.0,0.129,0.816,120.002,202893
3570,4,0.73,0.686,4,-4.713,0.491,0.219,0.0,0.211,0.459,189.889,208733
3571,10,0.884,0.657,6,-4.569,0.0977,0.00589,0.0,0.154,0.489,107.059,234693
3572,1,0.724,0.891,0,-4.275,0.047,0.00448,0.0108,0.158,0.717,124.061,168196
3573,2,0.718,0.89,2,-3.931,0.144,0.139,0.00103,0.341,0.31,124.943,188160
3574,66,0.562,0.903,8,-4.46,0.0296,0.000187,0.0939,0.298,0.791,132.009,221000
3575,72,0.421,0.791,9,-4.998,0.0496,0.0117,1.48e-05,0.146,0.499,130.075,257200
3577,14,0.821,0.676,3,-6.366,0.0547,0.187,0.0001,0.0904,0.559,119.012,213187
3579,19,0.768,0.567,2,-7.046,0.0312,0.66,0.000277,0.07,0.471,117.974,186147
3581,4,0.525,0.538,11,-9.366,0.0783,0.14,0.117,0.095,0.802,175.953,291162
3582,66,0.78,0.798,1,-5.151,0.0613,0.0406,6.31e-05,0.0733,0.771,78.969,163251
3583,0,0.854,0.832,9,-3.836,0.247,0.146,0.0,0.0513,0.643,116.957,301721
3584,0,0.778,0.942,9,-2.525,0.178,0.355,0.0,0.626,0.687,105.517,296953
3585,83,0.734,0.637,4,-5.677,0.141,0.0462,2.29e-05,0.0602,0.648,169.977,202333
3590,39,0.646,0.891,8,-2.904,0.0433,0.00445,0.89,0.127,0.106,142.024,229369
3591,82,0.836,0.544,7,-5.975,0.0943,0.0403,0.0,0.0824,0.51,97.028,217947
3594,76,0.73,0.703,0,-5.672,0.0369,0.109,0.0,0.0657,0.595,138.113,192120
3603,74,0.766,0.709,9,-6.471,0.123,0.204,1.41e-05,0.126,0.506,128.07,211853
3604,67,0.775,0.825,7,-5.402,0.0464,0.0506,1.03e-06,0.111,0.95,139.091,182667
3606,69,0.912,0.716,10,-4.141,0.0697,0.0904,0.0,0.0491,0.377,94.981,199938
3607,80,0.693,0.604,11,-5.279,0.0427,0.0668,0.0,0.114,0.651,75.014,179930
3608,82,0.853,0.56,1,-4.961,0.0406,0.013,0.0,0.0944,0.86,134.066,206693
3612,75,0.701,0.458,1,-7.749,0.0836,0.00407,0.000151,0.045,0.482,102.967,204727
3614,86,0.579,0.904,5,-2.729,0.0618,0.193,0.0,0.064,0.681,82.014,190947
3617,74,0.683,0.53,5,-4.918,0.142,0.207,0.0,0.394,0.645,75.016,190428
3618,83,0.798,0.539,1,-6.351,0.0421,0.199,1.66e-05,0.165,0.394,136.949,202547
3620,73,0.594,0.721,2,-7.812,0.0957,0.0209,8.55e-06,0.0879,0.253,128.942,234653
3622,54,0.623,0.627,5,-6.73,0.0518,0.603,0.00908,0.316,0.459,100.04,211340
3623,5,0.704,0.622,0,-8.29,0.0404,0.338,0.0,0.0915,0.5,104.984,201178
3624,69,0.494,0.951,9,-4.237,0.132,0.000569,0.0,0.327,0.441,160.025,202496
3625,74,0.736,0.756,11,-7.099,0.047,0.00632,0.00577,0.106,0.712,117.016,231847
3626,58,0.748,0.406,1,-8.142,0.035,0.685,3.61e-06,0.118,0.811,100.034,153094
3629,71,0.791,0.754,0,-3.729,0.0569,0.00446,0.0,0.163,0.425,125.014,234653
3631,53,0.636,0.607,9,-6.895,0.064,0.318,0.000751,0.094,0.165,120.063,197840
3632,50,0.59,0.565,9,-7.231,0.0484,0.348,0.0,0.109,0.0519,131.76,228653
3633,46,0.874,0.54,10,-7.084,0.417,0.217,0.00185,0.562,0.723,156.941,190747
3634,71,0.446,0.8,0,-5.404,0.174,0.0814,0.0,0.199,0.474,189.89,237733
3635,52,0.569,0.614,6,-8.808,0.0566,0.0356,0.000175,0.106,0.122,119.764,250507
3636,49,0.58,0.48,2,-8.075,0.0321,0.223,0.0,0.113,0.262,123.801,234280
3637,41,0.687,0.793,9,-5.461,0.0895,0.00708,0.0,0.375,0.622,112.057,221613
3638,72,0.69,0.729,6,-5.08,0.372,0.276,5.08e-05,0.106,0.478,128.96,191600
3640,55,0.652,0.703,9,-5.632,0.0994,0.0516,0.0,0.0521,0.485,134.066,214960
3641,11,0.518,0.596,6,-6.653,0.124,0.569,0.0,0.133,0.326,100.28,190867
3643,60,0.579,0.738,10,-5.711,0.0542,0.0821,1.52e-06,0.232,0.431,124.023,202907
3644,46,0.602,0.658,1,-5.947,0.055,0.0233,5.78e-05,0.229,0.28,145.084,197547
3645,40,0.722,0.461,4,-6.428,0.0319,0.256,0.0,0.214,0.464,119.91,208493
3647,39,0.694,0.453,1,-7.069,0.0397,0.0213,0.0,0.0795,0.24,110.909,189507
3648,36,0.848,0.601,0,-4.606,0.0399,0.107,7.75e-06,0.108,0.737,114.045,227387
3651,69,0.831,0.485,10,-6.677,0.15,0.375,1.47e-05,0.118,0.622,80.022,245667
3652,67,0.8,0.535,7,-6.684,0.135,0.0713,9.48e-06,0.213,0.451,92.027,209680
3654,36,0.654,0.312,4,-10.212,0.0508,0.429,8.59e-06,0.19,0.304,119.9,73813
3655,35,0.336,0.231,1,-6.217,0.0493,0.943,0.0,0.183,0.431,168.724,37640
3656,76,0.747,0.458,6,-6.891,0.303,0.451,0.0,0.252,0.47,75.029,182000
3657,73,0.287,0.364,9,-8.295,0.0306,0.418,1.8e-05,0.185,0.11,103.777,271467
3658,84,0.726,0.554,5,-5.29,0.0917,0.0421,0.0,0.106,0.335,169.999,190440
3659,76,0.729,0.475,8,-4.985,0.0364,0.378,0.0,0.12,0.371,62.52,212267
3660,18,0.568,0.686,11,-4.901,0.0903,0.133,0.0,0.11,0.4,148.294,208733
3663,55,0.835,0.756,10,-5.441,0.123,0.0523,0.028,0.0606,0.809,153.988,221853
3665,44,0.876,0.55,6,-5.707,0.161,0.0126,2.84e-05,0.0272,0.702,99.046,228373
3666,36,0.604,0.45,9,-6.564,0.0354,0.651,0.0,0.0934,0.531,100.347,322027
3667,57,0.513,0.69,0,-4.986,0.0341,0.51,0.0,0.102,0.777,96.881,145920
3668,46,0.628,0.858,1,-4.06,0.184,0.154,0.0,0.156,0.707,170.049,124613
3669,53,0.637,0.849,8,-4.348,0.0957,0.0793,0.0,0.0847,0.699,120.052,199933
3670,52,0.534,0.797,2,-5.444,0.145,0.00216,0.0,0.0575,0.72,179.981,182107
3671,44,0.423,0.962,1,-3.82,0.164,0.0488,1.78e-05,0.695,0.735,199.972,167440
3672,69,0.706,0.728,7,-3.602,0.0852,0.123,0.0,0.185,0.851,121.017,201600
3673,73,0.536,0.768,10,-5.948,0.0347,0.00433,0.0,0.114,0.545,77.217,228133
3674,69,0.546,0.787,7,-4.1,0.0517,0.0101,0.00021,0.0809,0.573,79.979,231987
3676,57,0.584,0.641,1,-6.637,0.0284,0.00435,1.22e-06,0.113,0.353,88.033,192720
3677,40,0.713,0.707,0,-4.582,0.0715,0.00219,0.0128,0.111,0.638,124.984,175347
3678,38,0.631,0.85,5,-2.381,0.0375,0.0206,0.0,0.135,0.612,127.983,162053
3679,61,0.581,0.594,0,-6.977,0.0381,0.0382,0.0,0.14,0.338,107.942,209190
3680,55,0.555,0.8,0,-4.835,0.0776,0.0353,0.0,0.0783,0.801,174.007,175027
3681,61,0.59,0.903,1,-4.478,0.0363,0.0232,0.0,0.0786,0.542,107.023,213453
3682,59,0.691,0.877,7,-2.954,0.159,0.0393,0.0,0.0325,0.968,161.935,153787
3683,47,0.819,0.683,7,-6.144,0.156,0.00291,0.122,0.254,0.671,112.007,154773
3684,56,0.594,0.977,8,-4.193,0.0646,0.0597,3.49e-06,0.309,0.793,131.976,200827
3685,61,0.812,0.67,5,-6.385,0.0565,0.0218,0.0,0.0518,0.439,137.038,198320
3686,52,0.601,0.759,5,-4.467,0.0452,0.358,0.0,0.101,0.475,102.006,208947
3687,51,0.426,0.953,9,-3.282,0.106,0.155,0.0,0.132,0.678,169.93,182707
3688,64,0.585,0.911,11,-4.623,0.119,0.0263,0.0,0.112,0.781,163.933,195733
3689,55,0.735,0.874,2,-5.28,0.035,0.229,0.0,0.69,0.715,126.053,198640
3690,53,0.588,0.698,9,-4.718,0.0415,0.195,0.0,0.257,0.631,125.004,220253
3691,39,0.369,0.96,9,-2.772,0.131,0.0663,0.0424,0.206,0.539,169.991,151893
3693,50,0.724,0.782,2,-7.407,0.0334,0.0368,0.0,0.196,0.797,128.01,180827
3694,67,0.513,0.496,11,-6.049,0.0511,0.46,0.0,0.106,0.676,113.072,186893
3695,58,0.798,0.904,0,-3.316,0.0476,0.0747,6.62e-06,0.0522,0.966,135.008,236400
3696,60,0.804,0.88,9,-5.061,0.0933,0.00317,0.0,0.226,0.682,104.111,217240
3697,34,0.615,0.898,9,-5.85,0.0416,0.0971,0.0,0.758,0.485,140.117,125493
3698,52,0.482,0.945,2,-3.969,0.124,0.00436,1.41e-06,0.364,0.626,160.792,178560
3699,58,0.827,0.761,8,-5.185,0.138,0.233,0.0,0.0453,0.703,131.996,180693
3700,53,0.356,0.611,7,-5.312,0.0357,0.0892,0.0,0.178,0.393,129.385,178200
3702,37,0.755,0.969,2,-3.752,0.193,0.203,6.8e-05,0.192,0.605,107.036,187333
3703,58,0.658,0.733,7,-7.384,0.0315,0.327,0.0,0.385,0.198,103.969,193751
3704,71,0.655,0.782,1,-4.789,0.185,0.375,0.0,0.317,0.832,79.427,184227
3706,58,0.531,0.771,4,-6.162,0.0468,0.0735,0.0,0.17,0.617,159.973,224333
3707,30,0.833,0.805,8,-5.507,0.0851,0.0523,8e-05,0.294,0.5,114.996,179040
3708,21,0.588,0.853,2,-5.069,0.0505,0.000778,0.0,0.219,0.598,125.007,217347
3709,53,0.757,0.871,8,-4.689,0.0362,0.000753,0.00649,0.454,0.394,124.05,186101
3710,43,0.822,0.786,5,-7.87,0.117,0.000757,0.0,0.0797,0.58,114.95,183467
3711,32,0.855,0.891,1,-4.964,0.0356,0.0148,0.102,0.0838,0.951,105.007,185333
3712,27,0.692,0.662,5,-4.688,0.0393,0.355,0.0,0.184,0.854,119.913,190200
3713,39,0.613,0.889,4,-3.641,0.055,0.0192,0.0,0.0937,0.335,131.936,231293
3715,46,0.592,0.935,4,-3.869,0.0584,0.00431,0.0,0.139,0.517,127.967,181693
3716,64,0.477,0.6,7,-5.652,0.0324,0.271,0.0,0.112,0.29,152.062,229813
3717,57,0.599,0.888,11,-2.931,0.0514,0.0273,0.0,0.28,0.833,121.05,197587
3718,61,0.72,0.751,11,-4.484,0.0462,0.0113,0.0,0.353,0.599,128.017,202640
3720,76,0.712,0.862,5,-4.612,0.0378,0.0525,0.0,0.093,0.809,95.051,206200
3721,75,0.446,0.757,1,-5.177,0.0322,0.0206,0.0,0.146,0.421,102.88,266600
3723,72,0.716,0.821,5,-3.435,0.0314,0.0558,0.0,0.0844,0.618,92.997,219547
3725,69,0.699,0.76,5,-3.173,0.0677,0.00223,0.0,0.132,0.696,129.996,179640
3726,70,0.678,0.918,5,-4.63,0.0355,0.000417,0.0,0.0744,0.769,130.028,216160
3727,70,0.616,0.789,7,-4.874,0.0377,0.053,0.0,0.142,0.621,83.066,227373
3728,64,0.704,0.793,8,-2.266,0.0591,0.0488,0.0,0.575,0.412,127.96,199680
3730,70,0.636,0.832,5,-3.944,0.179,0.0293,3.6e-06,0.272,0.677,175.015,223053
3732,49,0.784,0.842,1,-4.041,0.187,0.00448,2.93e-05,0.104,0.483,100.035,234880
3733,59,0.762,0.863,0,-3.689,0.0565,0.015,0.0,0.125,0.965,106.008,185587
3736,68,0.867,0.857,9,-5.892,0.0663,0.13,0.00171,0.13,0.402,130.048,251440
3737,68,0.627,0.703,0,-4.884,0.236,0.563,0.0,0.0962,0.64,81.897,217307
3739,38,0.601,0.642,2,-8.398,0.03,0.0176,1.15e-06,0.087,0.302,125.999,225306
3740,65,0.772,0.744,7,-5.803,0.0398,0.0547,0.0,0.0852,0.86,120.065,202480
3741,69,0.673,0.464,10,-6.864,0.201,0.0933,0.0,0.21,0.762,171.043,235600
3742,84,0.678,0.588,7,-7.015,0.276,0.141,6.35e-06,0.137,0.486,186.005,230453
3746,74,0.628,0.676,7,-5.911,0.0916,0.00957,2.65e-05,0.121,0.75,85.984,193147
3747,66,0.608,0.269,0,-7.201,0.0329,0.983,1.96e-06,0.337,0.389,126.372,135714
3748,75,0.824,0.733,1,-5.475,0.0613,0.0355,0.0,0.324,0.393,97.971,284387
3749,79,0.647,0.822,5,-4.662,0.183,0.219,0.0,0.0908,0.962,160.019,232720
3752,55,0.447,0.546,4,-5.26,0.0262,0.168,0.0,0.117,0.368,172.32,206173
3753,72,0.571,0.873,0,-3.382,0.0997,0.0807,0.0,0.361,0.613,139.691,229467
3758,64,0.489,0.597,5,-6.633,0.0292,0.27,0.0,0.105,0.324,95.012,253520
3759,77,0.512,0.754,0,-6.031,0.055,0.135,0.0,0.0881,0.336,147.89,201693
3760,74,0.624,0.653,8,-6.582,0.176,0.575,0.0,0.104,0.565,73.884,288333
3762,53,0.632,0.784,2,-7.457,0.0393,0.000157,3.6e-05,0.037,0.278,100.019,203344
3763,72,0.813,0.627,11,-5.018,0.0486,0.076,0.000616,0.131,0.801,130.011,195853
3764,63,0.817,0.733,2,-6.009,0.145,0.0152,4.31e-05,0.107,0.833,127.056,237120
3765,75,0.4,0.915,0,-4.89,0.28,0.0846,0.0,0.0503,0.878,88.917,198773
3769,50,0.781,0.738,11,-5.579,0.0562,0.141,0.00243,0.093,0.968,130.008,162387
3770,57,0.693,0.822,4,-5.441,0.0439,0.00616,1.79e-06,0.315,0.763,126.035,223800
3772,78,0.421,0.873,10,-4.343,0.0565,0.0653,0.0,0.123,0.63,84.803,202533
3773,83,0.641,0.922,2,-4.457,0.0786,0.0291,0.0,0.0862,0.847,146.078,258343
3776,60,0.822,0.865,1,-2.441,0.0469,0.00889,1.27e-06,0.122,0.169,128.017,218000
3777,71,0.781,0.526,6,-6.985,0.293,0.0619,0.0,0.0457,0.662,94.992,235613
3780,54,0.732,0.945,10,-4.056,0.137,0.0351,0.0,0.28,0.636,127.949,222058
3781,73,0.772,0.685,5,-6.849,0.0696,0.019,8.96e-05,0.131,0.501,130.033,283400
3783,34,0.719,0.753,8,-4.206,0.0352,0.175,2.47e-06,0.36,0.577,98.016,243480
3785,60,0.722,0.63,3,-5.784,0.132,0.0485,0.000294,0.179,0.519,150.023,227480
3786,69,0.926,0.916,10,-2.221,0.0929,0.35,6.17e-06,0.0234,0.904,110.007,199853
3788,57,0.705,0.805,4,-4.887,0.0595,0.134,0.000139,0.367,0.887,120.022,223493
3790,77,0.757,0.672,0,-6.524,0.0955,0.0186,0.0,0.158,0.382,111.996,251467
3792,76,0.747,0.937,0,-5.746,0.0453,0.0208,0.0,0.29,0.739,103.976,224653
3795,79,0.655,0.797,2,-4.787,0.153,0.198,0.0,0.067,0.839,177.928,229360
3802,16,0.704,0.486,4,-9.247,0.0564,0.421,1.08e-06,0.28,0.491,130.047,250000
3804,46,0.83,0.546,11,-7.506,0.055,0.232,0.0,0.676,0.61,120.975,231540
3808,65,0.703,0.867,6,-4.292,0.0453,0.107,0.0,0.119,0.546,128.008,213708
3810,84,0.658,0.56,6,-9.049,0.0467,0.498,0.0,0.0794,0.854,161.994,182947
3811,68,0.365,0.851,4,-6.238,0.065,0.0964,0.003,0.238,0.309,78.068,170067
3812,74,0.504,0.785,8,-4.802,0.104,0.0738,0.0,0.239,0.502,173.968,210840
3813,55,0.706,0.841,7,-3.956,0.0418,7.95e-05,0.0,0.0688,0.861,132.032,220227
3814,68,0.662,0.739,9,-5.354,0.0322,0.00206,0.0603,0.113,0.382,130.999,188960
3815,84,0.4,0.795,10,-3.731,0.461,0.119,0.0,0.159,0.702,190.097,186107
3818,79,0.65,0.736,6,-5.84,0.229,0.0513,0.0,0.235,0.612,159.174,226160
3821,77,0.554,0.772,7,-4.821,0.0418,0.00487,6.6e-06,0.354,0.455,179.984,223546
3825,65,0.756,0.589,0,-5.093,0.232,0.0812,0.0,0.176,0.811,146.928,205593
3827,80,0.637,0.843,5,-5.413,0.0432,0.0151,0.0,0.0876,0.434,109.012,220733
3830,69,0.839,0.804,1,-2.513,0.0329,0.0192,0.0,0.331,0.888,122.973,239987
3832,67,0.781,0.445,2,-6.061,0.0295,0.474,0.0,0.184,0.591,78.998,281560
3834,66,0.564,0.71,11,-4.92,0.0461,0.00125,0.0,0.109,0.393,91.972,225147
